group_id,pipes,root_pass_butt_process,filler_pass_butt_process,welding_material_root_pass_butt,welding_material_filler_pass_butt,preheat_base,preheat_thk,preheat_above,interpass,pwht_temp,pwht_minhold,hardness,notes
A4F,"ASTM A335 GR.P5, ASTM A691 GR.5CR CL.42",GTAW,GTAW/SMAW (Note-1),ER 80S-B6,E8016 B6,180°C,,,250-300°C,675-760°C,2 HRS,240 BHN Max,"2. Post heating required if weld metal cools below 150°C after welding & before PWHT: heat to 300°C, hold 1hr min, wrap with mineral wool before cooling to room temp. 3. PWHT for ALL wall thicknesses; hardness shall not exceed 241 BHN. Attachments stress relieved & meet hardness limit. Hardness in B25F, E25F weld joint shall not exceed 225 BHN."
A4G,"ASTM A335 GR.P9, ASTM A691 GR.9CR CL.42",GTAW,GTAW/SMAW (Note-1),ER 80S-B8,E8018 B8L,250-300°C ,,,250-300°C,675-760°C,2 HRS,241 BHN Max,"2. Post heating required if weld metal cools below 150°C after welding & before PWHT: heat to 300°C, hold 1hr min, wrap mineral wool before cooling. 3. PWHT for ALL wall thicknesses; hardness shall not exceed 241 BHN. Attachments stress relieved & meet hardness limit."
A16A,ASTM A335 GR.P1,,,,,,,,,,,,
A16A,ASTM A335 GR.P12,,,,,,,,250-315 °C,,,,
A4F,ASTM A335 GR.P21,,,,,,,,250-315 °C,,,,
A1K,"ASTM A312 TP304, ASTM A358 TP304 CL.1",GTAW,GTAW/SMAW,ER 308L,E 308L,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
A6K,"ASTM A312 TP304/304L, ASTM A358 TP304/304L CL.1",GTAW,GTAW/SMAW (Note-1),ER 308L,E 308L,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below entirely GTAW. 2. Ferrite content shall be reported in the PQR and shall be in the range of 3 to 8 FN."
A2K,"ASTM A312 TP304, ASTM A358 TP304 CL.1",GTAW,GTAW/SMAW,ER 308H,E 308H,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below entirely GTAW. 2. All batches of filler materials shall have guaranteed minimum as-welded impact value of 0.38mm lateral expansion at -196°C at site; all five values shall be over 0.38mm. 3. Ferrite content shall be reported in PQR, range 1 to 8 FN. CRYOGENIC SERVICE."
A1N,"ASTM A312 TP316/316L, ASTM A358 TP316/316L CL.1",GTAW,GTAW/SMAW,ER 316L,E 316L,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
A1Y,"ASTM A312 TP321, ASTM A358 TP321 CL.1",GTAW,GTAW/SMAW (Note-1),ER 321,E 347,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below entirely GTAW. 2. During procedure qualification, weld metal ferrite content shall be measured and shall be in the range of 3-8%."
A27Y,"ASTM A312 TP321, ASTM A358 TP321 CL.1",GTAW,GTAW/SMAW (Note-1),ER Ni Cu-7,E Ni Cu-7,10°C,,,175°C MAX,,,,
A1O,ASTM A268 GR TP405,,,ER309/ER309L,E309-15/16,10°C,,,,,,,
A1O,ASTM A268 GR TP410,,,ER410,E410,121°C,,,204-315 °C,680-730°C,,200-250 HB Max,
A1O,ASTM A268 GR TP430,,,ER430,E430,10°C,,,,,,,
A1K,ASTM A312 GR TP304H,,,ER308H,E308H,10°C,,,Max 175 °C,,,,
B5M,ASTM A312 GR TP316H,,,ER316H,E316H,10°C,,,Max 175 °C,,,,
A6K,ASTM A312 GR TP317,,,ER317,E317,10°C,,,Max 175 °C,,,,
A6K,ASTM A312 GR TP317L,,,ER317L,E317L,10°C,,,Max 175 °C,,,,
A6K,ASTM A312 GR TP321H,,,ER347,E347,10°C,,,Max 175 °C,,,,
A1K,ASTM A312 GR TP309S,,,ER309L,E309L,10°C,,,Max 175 °C,,,,
A1K,ASTM A312 GR TP310S,,,ER310,E310,10°C,,,Max 175 °C,,,,
B27M,"ASTM A312 TP347, ASTM A358 TP347 CL.1, ASTM A312 TP347H",GTAW,GTAW/SMAW (Note-1),ER347,E347,10°C,,,175°C MAX,,,,"1. For piping 2"" OD & below entirely GTAW. 2. During procedure qualification, weld metal ferrite content shall be measured and shall be in the range of 5-10 Ferrite Number."
A27Q,"ASTM B165 ANNLD (UNS N04400), ASTM B725 ANNLD (UNS N04400)",GTAW,GTAW/SMAW,ER Ni Cu-7,E Ni Cu-7,10°C,,,,,,,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process. NOTE: card heading duplicates ""A27Y"" from page 27 but covers Monel 400 (UNS N04400) — a different alloy; confirm actual class code against the PMS."
D50Q,ASTM B423 (UNS N08825),GTAW,GTAW/SMAW (Note-1),ER Ni Cr-3,E Ni Cr Mo-3,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
D51Q,"ASTM B444 (UNS N06625) GR.1, ASTM B474 (UNS N06625) GR.1",GTAW,GTAW/SMAW (Note-1),ERNiCrMo-3,E NiCrMo-3,10°C,,,175°C MAX,,,,"1. For piping sizes 2"" OD & below shall be entirely welded by GTAW process."
D50Q,"ASTM B167 (UNS N06600), ASTM B517 (UNS N06600) - Inconel 600 (Ni-Cr-Fe)",,,"ER NiCr-3
ER NiCrFe-5
ER NiCrFe-6
ER NiFeCr-1
ER NiFeCr-2","E NiCrFe-2
E NiCrFe-3
E NiCrFe-1
E NiCrFe-4
E NiCrFe-7",10°C,,,,,,,
D50Q,ASTM B166/B167 (UNS N06617) - Inconel 617 (Ni-Cr-Co-Mo),,,ERNiCrCoMo-1,E NiCrCoMo-1,10°C,,,,,,,
D50Q,"ASTM B407 (UNS N08800), ASTM B514 (UNS N08800) - Incoloy 800 (Ni-Cr-Fe)",,,ER Ni Cr-3/ER Ni Cr Mo-3,E Ni Cr Fe-2/E Ni Cr Mo-3,10°C,,,,,,,
D50Q,UNS N08810 - Incoloy 800H (Ni-Cr-Fe),,,ER Ni Cr-3/ER Ni Cr Mo-3,E Ni Cr Fe-2/E Ni Cr Mo-3,10°C,,,,,,,
D50Q,UNS N08811 - Incoloy 800HT (Ni-Cr-Fe),,,ER Ni Cr-3/ER Ni Cr Mo-3,E Ni Cr Fe-2/E Ni Cr Mo-3,10°C,,,,,,,
D51Q,UNS N10276 - Hastelloy C-276 (Ni-Cr-Mo),,,ERNiCrMo-4,ENiCrMo-4,10°C,,,,,,,
D52Q,UNS S32101 - Lean Duplex LDX 2101,,,ER2209,,10°C,,,,,,,
D53Q,UNS S31803 - Standard 22% Cr Duplex 2205,,,ER2209,E2209-15/16,10°C,,,,,,,
D54Q,UNS S32550 - 25% Cr Duplex 255,,,ER2594,,10°C,,,,,,,
D55Q,UNS S32750 - Super Duplex 2507,,,ER2594,E2594,10°C,,,,,,,
D56Q,UNS S32707 - Hyper Duplex SAF 2707,,,ER2594,,10°C,,,,,,,
