PMS,CLASS,TYPE,FACING,DIA(LOW),DIA(HIGH),RATING,DESIGN_STANDARD,MATERIAL_DESCRIPTION
EIL,B67A,SEAMLESS,BE,3,10,STD,B-36.10,ASTM A106 GR.B
EIL,B67A,SEAMLESS,BE,12,14,XS,B-36.10,ASTM A106 GR.B
EIL,B67A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.32(200BHN MAX)
EIL,B68A,SEAMLESS,PE,0.5,1.5,XXS,B-36.10,ASTM A106 GR.B
EIL,B68A,SEAMLESS,BE,2,3,S160,B-36.10,ASTM A106 GR.B
EIL,B68A,SEAMLESS,PE,4,4,S120,B-36.10,ASTM A106 GR.B
EIL,B68A,SEAMLESS,BE,6,10,XS,B-36.10,ASTM A106 GR.B
EIL,B68A,SEAMLESS,BE,12,14,S60,B-36.10,ASTM A106 GR.B
EIL,B68A,EFSW,BE,16,24,CALC,B-36.10,ASTM A672 GR.B60 CL.32(200BHN MAX)
EIL,B11K,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP304L
EIL,B11K,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP304L
EIL,B11K,SEAMLESS,BE,2,2,40S,B-36.19,ASTM A312 TP304L
EIL,B11K,SEAMLESS,BE,3,6,10S,B-36.19,ASTM A312 TP304L
EIL,B11K,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A312 TP304L
EIL,B11K,EFSW,BE,10,10,6.35MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B11K,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B11K,EFSW,BE,14,14,7.92MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B15K,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP304L
EIL,B15K,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP304L
EIL,B15K,SEAMLESS,BE,2,2,40S,B-36.19,ASTM A312 TP304L
EIL,B15K,SEAMLESS,BE,3,4,10S,B-36.19,ASTM A312 TP304L
EIL,B15K,SEAMLESS,BE,6,6,10S,B-36.19,ASTM A312 TP304L
EIL,B15K,SEAMLESS,BE,8,8,6.35mm,B-36.19,ASTM A312 TP304L
EIL,B15K,EFSW,BE,10,10,6.35mm,B-36.19,ASTM A358 TP304 CL.1
EIL,B15K,EFSW,BE,12,12,8.38mm,B-36.19,ASTM A358 TP304 CL.1
EIL,B15K,EFSW,BE,14,14,7.92mm,B-36.19,ASTM A358 TP304 CL.1
EIL,B15K,EFSW,BE,16,18,40S,B-36.19,ASTM A358 TP304 CL.1
EIL,B15K,EFSW,BE,20,20,40S,B-36.19,ASTM A358 TP304 CL.1
EIL,B15K,EFSW,BE,24,24,80S,B-36.19,ASTM A358 TP304 CL.1
EIL,B1K,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP304
EIL,B1K,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP304
EIL,B1K,SEAMLESS,BE,2,2,40S,B-36.19,ASTM A312 TP304
EIL,B1K,SEAMLESS,BE,3,4,10S,B-36.19,ASTM A312 TP304
EIL,B1K,SEAMLESS,BE,6,6,10S,B-36.19,ASTM A312 TP304
EIL,B1K,SEAMLESS,BE,8,8,6.35MM,B-36.19,ASTM A312 TP304
EIL,B1K,EFSW,BE,10,10,6.35MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B1K,EFSW,BE,12,12,8.38MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B1K,EFSW,BE,14,14,7.92MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B1K,EFSW,BE,16,18,9.53MM,B-36.19,ASTM A358 TP304 CL.1
EIL,B1K,EFSW,BE,20,24,CALC,B-36.19,ASTM A358 TP304 CL.1
EIL,B25K,SEAMLESS,PE,0.5,0.75,80S,B-36.19,ASTM A312 TP304
EIL,B25K,SEAMLESS,PE,1,1.5,40S,B-36.19,ASTM A312 TP304
EIL,B25K,SEAMLESS,BE,2,2,40S,B-36.19,ASTM A312 TP304
EIL,B25K,SEAMLESS,BE,3,4,10S,B-36.19,ASTM A312 TP304
